Fiscal Year,Fund ID,Fund Name,Fund Type,Department ID,Department Name,Department Type,GL Account,GL Description,GL Category,Revenue or Expenditure,Current,Adopted,Actuals
2023,1000,General Fund,General Funds,1000,Houston Police Department-HPD,Public Safety,500045,Patrol Incentive Pay,Personnel Services,Expenditures,3418812,3418812,2552465
2023,1000,General Fund,General Funds,1000,Houston Police Department-HPD,Public Safety,500048,Investigator Pay,Personnel Services,Expenditures,1165850,1165850,585290
2023,1000,General Fund,General Funds,1000,Houston Police Department-HPD,Public Safety,500049,Crime Suppression Team Pay,Personnel Services,Expenditures,244910,244910,164045
2023,1000,General Fund,General Funds,1000,Houston Police Department-HPD,Public Safety,500050,Sal-Edu/Incen-Classfd,Personnel Services,Expenditures,12612340,12612340,11738990
2023,1000,General Fund,General Funds,1000,Houston Police Department-HPD,Public Safety,500060,Overtime - Civilian,Personnel Services,Expenditures,1203791,1203791,2767326
2023,1000,General Fund,General Funds,1000,Houston Police Department-HPD,Public Safety,500070,Overtime - Classified,Personnel Services,Expenditures,12000751,10500679,21788679
2023,1000,General Fund,General Funds,1000,Houston Police Department-HPD,Public Safety,500090,Premium Pay - Civilian,Personnel Services,Expenditures,262700,262700,246983
2023,1000,General Fund,General Funds,1000,Houston Police Department-HPD,Public Safety,500100,Premium Pay - Classified,Personnel Services,Expenditures,0,0,1519
2023,1000,General Fund,General Funds,1000,Houston Police Department-HPD,Public Safety,500110,Bilingual Pay - Civilian,Personnel Services,Expenditures,125352,125352,98204
2023,1000,General Fund,General Funds,1000,Houston Police Department-HPD,Public Safety,500120,Bilingual Pay - Classified,Personnel Services,Expenditures,2628616,2628616,2476331
2023,1000,General Fund,General Funds,1000,Houston Police Department-HPD,Public Safety,500130,Equipment Allowance-Classified,Personnel Services,Expenditures,10445081,10445081,9118516
2023,1000,General Fund,General Funds,1000,Houston Police Department-HPD,Public Safety,500150,Shift Differential Pay-Classified,Personnel Services,Expenditures,4458711,4458711,3413866
2023,1000,General Fund,General Funds,1000,Houston Police Department-HPD,Public Safety,500160,Training Incent.-Classified,Personnel Services,Expenditures,28222305,28222305,24803975
2023,1000,General Fund,General Funds,1000,Houston Police Department-HPD,Public Safety,500170,Weekend Prem Pay-Classified,Personnel Services,Expenditures,3760504,3760504,3157567
2023,1000,General Fund,General Funds,1000,Houston Police Department-HPD,Public Safety,500180,Temporary Employees,Personnel Services,Expenditures,0,0,-361
2023,1000,General Fund,General Funds,1000,Houston Police Department-HPD,Public Safety,500190,Temporary Higher Class Pay,Personnel Services,Expenditures,233342,233342,256670
2023,1000,General Fund,General Funds,1000,Houston Police Department-HPD,Public Safety,500240,Interfund HOPE Community Service Usage,Personnel Services,Expenditures,2000,2000,0
2023,1000,General Fund,General Funds,1000,Houston Police Department-HPD,Public Safety,500250,Interfund HOPE Union Business Usage,Personnel Services,Expenditures,20000,20000,3176
2023,1000,General Fund,General Funds,1000,Houston Police Department-HPD,Public Safety,501020,Clothing Allowance - Classified,Personnel Services,Expenditures,1393360,1393360,1071374
2023,1000,General Fund,General Funds,1000,Houston Police Department-HPD,Public Safety,501070,Pension - Civilian,Personnel Services,Expenditures,4328940,4328940,3646178
2023,1000,General Fund,General Funds,1000,Houston Police Department-HPD,Public Safety,501075,Pension Legacy-Civilian,Personnel Services,Expenditures,10614531,10614531,8854964
2023,1000,General Fund,General Funds,1000,Houston Police Department-HPD,Public Safety,501080,Pension - Fire,Personnel Services,Expenditures,0,0,-1374
2023,1000,General Fund,General Funds,1000,Houston Police Department-HPD,Public Safety,501090,Pension - Police,Personnel Services,Expenditures,160933743,160910238,141804201
2023,1000,General Fund,General Funds,1000,Houston Police Department-HPD,Public Safety,501100,Phase Down Classified,Personnel Services,Expenditures,25916001,25916001,17614806
2023,1000,General Fund,General Funds,1000,Houston Police Department-HPD,Public Safety,501110,Strategic Staffing-Classified,Personnel Services,Expenditures,725000,725000,569953
2023,1000,General Fund,General Funds,1000,Houston Police Department-HPD,Public Safety,501120,Termination Pay - Civilian,Personnel Services,Expenditures,320011,320011,616509
2023,1000,General Fund,General Funds,1000,Houston Police Department-HPD,Public Safety,501130,Termination Pay - Classified,Personnel Services,Expenditures,1097769,1097769,2143073
2023,1000,General Fund,General Funds,1000,Houston Police Department-HPD,Public Safety,501140,Third Party Disability B-Classified,Personnel Services,Expenditures,3960779,3960779,3388718
2023,1000,General Fund,General Funds,1000,Houston Police Department-HPD,Public Safety,501150,Trainees for Classified Service - Cadets,Personnel Services,Expenditures,6028483,6028483,4858969
2023,1000,General Fund,General Funds,1000,Houston Police Department-HPD,Public Safety,501160,Vehicle Allowance - Civilian,Personnel Services,Expenditures,4200,4200,0
2023,1000,General Fund,General Funds,1000,Houston Police Department-HPD,Public Safety,501170,Vehicle Allowance - Classified,Personnel Services,Expenditures,220000,220000,213150
2023,1000,General Fund,General Funds,1000,Houston Police Department-HPD,Public Safety,502010,FICA - Civilian,Personnel Services,Expenditures,4485010,4485010,3397488
2023,1000,General Fund,General Funds,1000,Houston Police Department-HPD,Public Safety,502020,FICA - Classified,Personnel Services,Expenditures,7118695,7117629,7249630
2023,1000,General Fund,General Funds,1000,Houston Police Department-HPD,Public Safety,503010,Health Ins-Act Civilian,Personnel Services,Expenditures,8522150,8427076,7452637
2023,1000,General Fund,General Funds,1000,Houston Police Department-HPD,Public Safety,503015,Basic Life Insurance - Active Civilian,Personnel Services,Expenditures,25400,25400,20650
2023,1000,General Fund,General Funds,1000,Houston Police Department-HPD,Public Safety,503020,Health Ins.Act-Classified,Personnel Services,Expenditures,70218202,71942091,63630133
2023,1000,General Fund,General Funds,1000,Houston Police Department-HPD,Public Safety,503025,Basic Life Insurance - Active Classified,Personnel Services,Expenditures,217014,216999,184666
2023,1000,General Fund,General Funds,1000,Houston Police Department-HPD,Public Safety,503040,Health/Life Ins.Ret-Classified,Personnel Services,Expenditures,21938383,21938383,19198422
2023,1000,General Fund,General Funds,1000,Houston Police Department-HPD,Public Safety,503050,Health/Life Insurance - Retiree Civilian,Personnel Services,Expenditures,0,0,44137
2023,1000,General Fund,General Funds,1000,Houston Police Department-HPD,Public Safety,503060,Long Term Disability-Civilian,Personnel Services,Expenditures,88330,88330,61203
2023,1000,General Fund,General Funds,1000,Houston Police Department-HPD,Public Safety,503061,Long Term Disability-Classified,Personnel Services,Expenditures,0,0,17
2023,1000,General Fund,General Funds,1000,Houston Police Department-HPD,Public Safety,503070,Municipal Pension-Other Classified,Personnel Services,Expenditures,100804,100804,10688
2023,1000,General Fund,General Funds,1000,Houston Police Department-HPD,Public Safety,503080,Workers Compensation-Classified-Admin,Personnel Services,Expenditures,1710668,1710537,1545820
2023,1000,General Fund,General Funds,1000,Houston Police Department-HPD,Public Safety,503090,Workers Compensation-Civilian-Admin,Personnel Services,Expenditures,318307,318307,223133
2023,1000,General Fund,General Funds,1000,Houston Police Department-HPD,Public Safety,503100,Workers Compensation-Civilian-Claim,Personnel Services,Expenditures,322371,357371,553122
2023,1000,General Fund,General Funds,1000,Houston Police Department-HPD,Public Safety,503110,Workers Compensation-Classified-Claim,Personnel Services,Expenditures,8303603,10085103,8255597
2023,1000,General Fund,General Funds,1000,Houston Police Department-HPD,Public Safety,504030,Unemployment Claims - Administration,Personnel Services,Expenditures,141149,141149,10065
2023,1000,General Fund,General Funds,1000,Houston Police Department-HPD,Public Safety,504040,Res For Police Enhanc.-Classified,Personnel Services,Expenditures,1275000,1275000,919550
2023,1000,General Fund,General Funds,1000,Houston Police Department-HPD,Public Safety,511010,"Chemical, Gases & Special Fluids",Supplies,Expenditures,4955,4955,12480
2023,1000,General Fund,General Funds,1000,Houston Police Department-HPD,Public Safety,511015,Cleaning & Sanitary,Supplies,Expenditures,14942,14942,0
2023,1000,General Fund,General Funds,1000,Houston Police Department-HPD,Public Safety,511020,Construction Materials,Supplies,Expenditures,133820,8820,112997
2023,1000,General Fund,General Funds,1000,Houston Police Department-HPD,Public Safety,511025,Electrical Hardware,Supplies,Expenditures,66005,66005,6884
2023,1000,General Fund,General Funds,1000,Houston Police Department-HPD,Public Safety,511030,Mechanical Hardware,Supplies,Expenditures,25573,25573,50600
2023,1000,General Fund,General Funds,1000,Houston Police Department-HPD,Public Safety,511040,Audiovisual Supplies,Supplies,Expenditures,86809,86809,18250
2023,1000,General Fund,General Funds,1000,Houston Police Department-HPD,Public Safety,511045,Computer Supplies,Supplies,Expenditures,557102,557102,416879
2023,1000,General Fund,General Funds,1000,Houston Police Department-HPD,Public Safety,511050,Paper & Printing Supplies,Supplies,Expenditures,233286,233286,101906
2023,1000,General Fund,General Funds,1000,Houston Police Department-HPD,Public Safety,511055,Publications & Printed Materials,Supplies,Expenditures,63372,63372,1307
2023,1000,General Fund,General Funds,1000,Houston Police Department-HPD,Public Safety,511060,Postage,Supplies,Expenditures,60284,60284,50000
2023,1000,General Fund,General Funds,1000,Houston Police Department-HPD,Public Safety,511070,Misc Office Supplies,Supplies,Expenditures,527930,545930,429789
2023,1000,General Fund,General Funds,1000,Houston Police Department-HPD,Public Safety,511080,General Laboratory Supplies,Supplies,Expenditures,24944,6944,0
2023,1000,General Fund,General Funds,1000,Houston Police Department-HPD,Public Safety,511085,Drugs & Medical Chemicals,Supplies,Expenditures,502,502,5300
2023,1000,General Fund,General Funds,1000,Houston Police Department-HPD,Public Safety,511090,Medical & Surgical Supplies,Supplies,Expenditures,27286,27286,44096
2023,1000,General Fund,General Funds,1000,Houston Police Department-HPD,Public Safety,511095,Small Technical & Scientific Equipment,Supplies,Expenditures,6259,6259,95310
2023,1000,General Fund,General Funds,1000,Houston Police Department-HPD,Public Safety,511100,Veterinary & Animal Supplies,Supplies,Expenditures,223718,223718,138110
2023,1000,General Fund,General Funds,1000,Houston Police Department-HPD,Public Safety,511110,Fuel,Supplies,Expenditures,0,0,-37445
2023,1000,General Fund,General Funds,1000,Houston Police Department-HPD,Public Safety,511115,Vehicle Repair & Maintenance Supplies,Supplies,Expenditures,806577,296877,601609
2023,1000,General Fund,General Funds,1000,Houston Police Department-HPD,Public Safety,511120,Clothing,Supplies,Expenditures,1382087,1247087,1097027
2023,1000,General Fund,General Funds,1000,Houston Police Department-HPD,Public Safety,511125,Food Supplies,Supplies,Expenditures,238286,76992,154795
2023,1000,General Fund,General Funds,1000,Houston Police Department-HPD,Public Safety,511130,Weapons Munitions & Supplies,Supplies,Expenditures,1146520,711520,1179007
2023,1000,General Fund,General Funds,1000,Houston Police Department-HPD,Public Safety,511135,Recreational Supplies,Supplies,Expenditures,27910,27910,27132
2023,1000,General Fund,General Funds,1000,Houston Police Department-HPD,Public Safety,511140,Landscaping & Gardening Supplies,Supplies,Expenditures,0,0,125
2023,1000,General Fund,General Funds,1000,Houston Police Department-HPD,Public Safety,511145,Small Tools & Minor Equipment,Supplies,Expenditures,41255,41255,50510
2023,1000,General Fund,General Funds,1000,Houston Police Department-HPD,Public Safety,511150,Miscellaneous Parts & Supplies,Supplies,Expenditures,867294,363075,298948
2023,1000,General Fund,General Funds,1000,Houston Police Department-HPD,Public Safety,511160,Protective Gear,Supplies,Expenditures,0,0,8570
2023,1000,General Fund,General Funds,1000,Houston Police Department-HPD,Public Safety,520100,Temporary Personnel  Services,Other Services and Charges,Expenditures,1728639,1728639,1616632
2023,1000,General Fund,General Funds,1000,Houston Police Department-HPD,Public Safety,520102,Security Services,Other Services and Charges,Expenditures,0,0,7890
2023,1000,General Fund,General Funds,1000,Houston Police Department-HPD,Public Safety,520106,Architectural Services,Other Services and Charges,Expenditures,0,0,-1
2023,1000,General Fund,General Funds,1000,Houston Police Department-HPD,Public Safety,520107,Computer Info/Contr,Other Services and Charges,Expenditures,9206520,8806520,8613777
2023,1000,General Fund,General Funds,1000,Houston Police Department-HPD,Public Safety,520108,Information Resource Services,Other Services and Charges,Expenditures,191183,191183,104055
2023,1000,General Fund,General Funds,1000,Houston Police Department-HPD,Public Safety,520109,"Medical, Dental & Laboratory Services",Other Services and Charges,Expenditures,273546,323546,174073
2023,1000,General Fund,General Funds,1000,Houston Police Department-HPD,Public Safety,520110,Management Consulting Services,Other Services and Charges,Expenditures,498789,478789,590502
2023,1000,General Fund,General Funds,1000,Houston Police Department-HPD,Public Safety,520112,Banking Services,Other Services and Charges,Expenditures,4025,4025,687
2023,1000,General Fund,General Funds,1000,Houston Police Department-HPD,Public Safety,520113,Photographic Services,Other Services and Charges,Expenditures,20000,20000,295
2023,1000,General Fund,General Funds,1000,Houston Police Department-HPD,Public Safety,520114,Miscellaneous Support Services,Other Services and Charges,Expenditures,984212,704212,707552
2023,1000,General Fund,General Funds,1000,Houston Police Department-HPD,Public Safety,520118,Refuse Disposal,Other Services and Charges,Expenditures,17500,17500,0
2023,1000,General Fund,General Funds,1000,Houston Police Department-HPD,Public Safety,520119,Computer Eq/SW Mnt,Other Services and Charges,Expenditures,147018,147018,0
2023,1000,General Fund,General Funds,1000,Houston Police Department-HPD,Public Safety,520120,Communications Equipment Services,Other Services and Charges,Expenditures,70815,70815,93397
2023,1000,General Fund,General Funds,1000,Houston Police Department-HPD,Public Safety,520122,Office Equipment Services,Other Services and Charges,Expenditures,195000,195000,-1150
2023,1000,General Fund,General Funds,1000,Houston Police Department-HPD,Public Safety,520123,Vehicle & Motor Equipment Services,Other Services and Charges,Expenditures,647205,532205,481975
2023,1000,General Fund,General Funds,1000,Houston Police Department-HPD,Public Safety,520124,Other Equipment Services,Other Services and Charges,Expenditures,96161,96161,8069
2023,1000,General Fund,General Funds,1000,Houston Police Department-HPD,Public Safety,520126,Construction Site Work Services,Other Services and Charges,Expenditures,50158,50158,95548
2023,1000,General Fund,General Funds,1000,Houston Police Department-HPD,Public Safety,520133,Private Investigative Services,Other Services and Charges,Expenditures,0,0,-75
2023,1000,General Fund,General Funds,1000,Houston Police Department-HPD,Public Safety,520139,Motor Pool Charges,Other Services and Charges,Expenditures,0,0,2425
2023,1000,General Fund,General Funds,1000,Houston Police Department-HPD,Public Safety,520141,Engineering Services,Other Services and Charges,Expenditures,40812,40812,3207
2023,1000,General Fund,General Funds,1000,Houston Police Department-HPD,Public Safety,520142,Classified C.S. Arbitration Cost,Other Services and Charges,Expenditures,45333,45333,67812
2023,1000,General Fund,General Funds,1000,Houston Police Department-HPD,Public Safety,520145,Criminal Intelligence Services,Other Services and Charges,Expenditures,306149,306149,132473
2023,1000,General Fund,General Funds,1000,Houston Police Department-HPD,Public Safety,520157,Computer Software Maintenance Services,Other Services and Charges,Expenditures,0,0,699123
2023,1000,General Fund,General Funds,1000,Houston Police Department-HPD,Public Safety,520520,Printing & Reproduction Services,Other Services and Charges,Expenditures,24289,24289,28223
2023,1000,General Fund,General Funds,1000,Houston Police Department-HPD,Public Safety,520605,Advertising Services,Other Services and Charges,Expenditures,32275,32275,40456
2023,1000,General Fund,General Funds,1000,Houston Police Department-HPD,Public Safety,520721,Intergov Exp-JPC,Other Services and Charges,Expenditures,15252500,15500000,12833333
2023,1000,General Fund,General Funds,1000,Houston Police Department-HPD,Public Safety,520765,Membership & Professional Fees,Other Services and Charges,Expenditures,43030,43030,24350
2023,1000,General Fund,General Funds,1000,Houston Police Department-HPD,Public Safety,520805,Education & Training,Other Services and Charges,Expenditures,348162,348162,183942
2023,1000,General Fund,General Funds,1000,Houston Police Department-HPD,Public Safety,520815,Tuition Reimbursement,Other Services and Charges,Expenditures,1243777,1243777,1206312
2023,1000,General Fund,General Funds,1000,Houston Police Department-HPD,Public Safety,520905,Travel - Training Related,Other Services and Charges,Expenditures,324410,324410,312449
2023,1000,General Fund,General Funds,1000,Houston Police Department-HPD,Public Safety,520910,Travel - Non-Training Related,Other Services and Charges,Expenditures,312925,312925,267484
2023,1000,General Fund,General Funds,1000,Houston Police Department-HPD,Public Safety,521320,Early Payment Discount,Other Services and Charges,Expenditures,0,0,-26528
2023,1000,General Fund,General Funds,1000,Houston Police Department-HPD,Public Safety,521405,Building Maintenance Services,Other Services and Charges,Expenditures,448006,755506,268211
2023,1000,General Fund,General Funds,1000,Houston Police Department-HPD,Public Safety,521610,Voice Services,Other Services and Charges,Expenditures,0,0,-19011
2023,1000,General Fund,General Funds,1000,Houston Police Department-HPD,Public Safety,521635,Voice Services -Wireless,Other Services and Charges,Expenditures,2878000,2878000,3996458
2023,1000,General Fund,General Funds,1000,Houston Police Department-HPD,Public Safety,521705,Equipment Rental,Other Services and Charges,Expenditures,20459,20459,159624
2023,1000,General Fund,General Funds,1000,Houston Police Department-HPD,Public Safety,521715,Office Equipment Rental,Other Services and Charges,Expenditures,0,0,1540
2023,1000,General Fund,General Funds,1000,Houston Police Department-HPD,Public Safety,521720,Computer Equipment Rental,Other Services and Charges,Expenditures,0,0,24686
2023,1000,General Fund,General Funds,1000,Houston Police Department-HPD,Public Safety,521725,Other Rental,Other Services and Charges,Expenditures,947562,947562,502062
2023,1000,General Fund,General Funds,1000,Houston Police Department-HPD,Public Safety,521730,Parking Space Rental,Other Services and Charges,Expenditures,337500,337500,282777
2023,1000,General Fund,General Funds,1000,Houston Police Department-HPD,Public Safety,521905,Legal Services,Other Services and Charges,Expenditures,3047,3047,400
2023,1000,General Fund,General Funds,1000,Houston Police Department-HPD,Public Safety,522305,Freight Charges,Other Services and Charges,Expenditures,15646,15646,1825
2023,1000,General Fund,General Funds,1000,Houston Police Department-HPD,Public Safety,522430,Misc Other Services & Charges,Other Services and Charges,Expenditures,675276,325936,868876
2023,1000,General Fund,General Funds,1000,Houston Police Department-HPD,Public Safety,522435,Interest Charges Past Due Accounts,Other Services and Charges,Expenditures,0,0,3792
2023,1000,General Fund,General Funds,1000,Houston Police Department-HPD,Public Safety,522720,Interfund Payroll Services,Other Services and Charges,Expenditures,0,0,-2739
2023,1000,General Fund,General Funds,1000,Houston Police Department-HPD,Public Safety,522721,Interfund HR Client Services,Other Services and Charges,Expenditures,312475,771328,223716
2023,1000,General Fund,General Funds,1000,Houston Police Department-HPD,Public Safety,522722,Interfund KRONOS Service Chargeback,Other Services and Charges,Expenditures,203575,442071,175299
2023,1000,General Fund,General Funds,1000,Houston Police Department-HPD,Public Safety,522723,Interfund Drainage Charge Service Chargeback,Other Services and Charges,Expenditures,129323,129323,119196
2023,1000,General Fund,General Funds,1000,Houston Police Department-HPD,Public Safety,522724,Interfund - Application Services Exp,Other Services and Charges,Expenditures,7712520,7479242,6210450
2023,1000,General Fund,General Funds,1000,Houston Police Department-HPD,Public Safety,522726,Interfund - Data Services Exp,Other Services and Charges,Expenditures,3601243,3426243,2562100
2023,1000,General Fund,General Funds,1000,Houston Police Department-HPD,Public Safety,522727,Interfund - Voice Services Exp,Other Services and Charges,Expenditures,2674953,2674953,1518519
2023,1000,General Fund,General Funds,1000,Houston Police Department-HPD,Public Safety,522728,Interfund - Wireless Services Exp,Other Services and Charges,Expenditures,26286,0,32298
2023,1000,General Fund,General Funds,1000,Houston Police Department-HPD,Public Safety,522729,Interfund - Voice Labor Exp,Other Services and Charges,Expenditures,135931,135931,76685
2023,1000,General Fund,General Funds,1000,Houston Police Department-HPD,Public Safety,522730,Interfund Engineering Services,Other Services and Charges,Expenditures,2058,1398,15
2023,1000,General Fund,General Funds,1000,Houston Police Department-HPD,Public Safety,522731,Interfund Vehicle Accidents,Other Services and Charges,Expenditures,1717947,1895647,1555620
2023,1000,General Fund,General Funds,1000,Houston Police Department-HPD,Public Safety,522733,Interfund HR Onboard,Other Services and Charges,Expenditures,0,0,102254
2023,1000,General Fund,General Funds,1000,Houston Police Department-HPD,Public Safety,522735,Interfund Parking - HF,Other Services and Charges,Expenditures,0,0,4969
2023,1000,General Fund,General Funds,1000,Houston Police Department-HPD,Public Safety,522795,Other Interfund Services,Other Services and Charges,Expenditures,634253,634253,111482
2023,1000,General Fund,General Funds,1000,Houston Police Department-HPD,Public Safety,522805,Interfund Network Services,Other Services and Charges,Expenditures,514428,514428,268157
2023,1000,General Fund,General Funds,1000,Houston Police Department-HPD,Public Safety,522815,Intfd Print Shop Services,Other Services and Charges,Expenditures,0,0,44567
2023,1000,General Fund,General Funds,1000,Houston Police Department-HPD,Public Safety,522821,Interfund Permit Ctr Point of Sale Chgb,Other Services and Charges,Expenditures,27500,73000,19134
2023,1000,General Fund,General Funds,1000,Houston Police Department-HPD,Public Safety,522822,Interfund Insurance,Other Services and Charges,Expenditures,1172939,1329510,1088649
2023,1000,General Fund,General Funds,1000,Houston Police Department-HPD,Public Safety,522830,Interfund GIS Services,Other Services and Charges,Expenditures,788420,788420,707347
2023,1000,General Fund,General Funds,1000,Houston Police Department-HPD,Public Safety,522840,Interfund Permitting Center Rent Chargeback,Other Services and Charges,Expenditures,108700,108700,99642
2023,1000,General Fund,General Funds,1000,Houston Police Department-HPD,Public Safety,522844,Interfund Vehicle Services - Tires,Other Services and Charges,Expenditures,2070901,1390404,1541852
2023,1000,General Fund,General Funds,1000,Houston Police Department-HPD,Public Safety,522845,Interfund Vehicle Services,Other Services and Charges,Expenditures,11027294,11166890,7751091
2023,1000,General Fund,General Funds,1000,Houston Police Department-HPD,Public Safety,522846,Interfund Vehicle Fuel,Other Services and Charges,Expenditures,11308767,9630885,9440616
2023,1000,General Fund,General Funds,1000,Houston Police Department-HPD,Public Safety,522850,Interfund Radio System Access,Other Services and Charges,Expenditures,4332546,4332546,3439013
2023,1000,General Fund,General Funds,1000,Houston Police Department-HPD,Public Safety,522865,Interfund HR Risk Management Services,Other Services and Charges,Expenditures,0,0,264798
2023,1000,General Fund,General Funds,1000,Houston Police Department-HPD,Public Safety,532020,Transfers to Capital Projects,Debt Service and Other Uses,Expenditures,2200000,0,0
2023,1000,General Fund,General Funds,1000,Houston Police Department-HPD,Public Safety,551010,Non-Capital Office Furniture & Equipment,Non-Capital Equipment,Expenditures,515000,150000,383907
2023,1000,General Fund,General Funds,1000,Houston Police Department-HPD,Public Safety,551015,Non-Capital Computer Equipment,Non-Capital Equipment,Expenditures,0,0,36258
2023,1000,General Fund,General Funds,1000,Houston Police Department-HPD,Public Safety,551030,Non-Capital Machinery & Equipment,Non-Capital Equipment,Expenditures,5912,0,0
2023,1000,General Fund,General Funds,1000,Houston Police Department-HPD,Public Safety,551040,Non-Capital Other,Non-Capital Equipment,Expenditures,850000,150000,126660
2023,1000,General Fund,General Funds,1000,Houston Police Department-HPD,Public Safety,560210,Cap Exp - Furniture Fixtures and Equipment,Equipment,Expenditures,0,0,60802
2023,1000,General Fund,General Funds,1000,Houston Police Department-HPD,Public Safety,560220,Cap Exp - Vehicles,Equipment,Expenditures,559057,40000,109990
2023,1000,General Fund,General Funds,1000,Houston Police Department-HPD,Public Safety,560270,Cap Exp - Intangible Assets,Equipment,Expenditures,0,0,44008
2023,1000,General Fund,General Funds,1000,Houston Police Department-HPD,Public Safety,560810,Cap Exp-Controlled Equipment,Equipment,Expenditures,0,0,2980
2023,1000,General Fund,General Funds,1100,Dept of Neighborhoods (DON),Human & Cultural Services,421200,Other Building & Construction Permits,Licenses and Permits,Revenues,217,217,0
2023,1000,General Fund,General Funds,1100,Dept of Neighborhoods (DON),Human & Cultural Services,426090,Demolition Fees,Charges for Services,Revenues,616104,616104,440066
2023,1000,General Fund,General Funds,1100,Dept of Neighborhoods (DON),Human & Cultural Services,426120,Weed Cutting Fees,Charges for Services,Revenues,878160,878160,553794
2023,1000,General Fund,General Funds,1100,Dept of Neighborhoods (DON),Human & Cultural Services,426330,Miscellaneous Copies Fees,Charges for Services,Revenues,500,500,1363
2023,1000,General Fund,General Funds,1100,Dept of Neighborhoods (DON),Human & Cultural Services,426480,Securing/Boarding - Nuisance Abatement,Charges for Services,Revenues,17296,17296,11086
2023,1000,General Fund,General Funds,1100,Dept of Neighborhoods (DON),Human & Cultural Services,426485,Visual Blight - Nuisance Abatement,Charges for Services,Revenues,254,254,72
2023,1000,General Fund,General Funds,1100,Dept of Neighborhoods (DON),Human & Cultural Services,428030,Release of Liens,Other Fines and Forfeits,Revenues,167005,167005,108177
2023,1000,General Fund,General Funds,1100,Dept of Neighborhoods (DON),Human & Cultural Services,428080,Returned Check Charges,Other Fines and Forfeits,Revenues,96,96,49
2023,1000,General Fund,General Funds,1100,Dept of Neighborhoods (DON),Human & Cultural Services,428105,Interest on Liens - Contractor,Other Fines and Forfeits,Revenues,885784,885784,631793
2023,1000,General Fund,General Funds,1100,Dept of Neighborhoods (DON),Human & Cultural Services,452030,Miscellaneous Revenue,Miscellaneous/Other,Revenues,30334,30334,23425
2023,1000,General Fund,General Funds,1100,Dept of Neighborhoods (DON),Human & Cultural Services,500010,Salary Base Pay - Civilian,Personnel Services,Expenditures,5409410,5409410,4652788
2023,1000,General Fund,General Funds,1100,Dept of Neighborhoods (DON),Human & Cultural Services,500060,Overtime - Civilian,Personnel Services,Expenditures,53008,53008,12419
2023,1000,General Fund,General Funds,1100,Dept of Neighborhoods (DON),Human & Cultural Services,500110,Bilingual Pay - Civilian,Personnel Services,Expenditures,22600,22600,19078
2023,1000,General Fund,General Funds,1100,Dept of Neighborhoods (DON),Human & Cultural Services,501070,Pension - Civilian,Personnel Services,Expenditures,456539,456539,383490
