Fiscal Year,Fund ID,Fund Name,Fund Type,Department ID,Department Name,Department Type,GL Account,GL Description,GL Category,Revenue or Expenditure,Current,Adopted,Actuals
2021,1000,General Fund,General Funds,6500,Admn. & Regulatory Affairs,Administrative Services,520147,Management Initiative Savings,Other Services and Charges,Expenditures,0,-74124,0
2021,1000,General Fund,General Funds,8000,Human Resources Dept.,Administrative Services,520705,Insurance Fees,Other Services and Charges,Expenditures,0,2108,0
2021,1000,General Fund,General Funds,9900,Citywide General Government,General Government,520147,Management Initiative Savings,Other Services and Charges,Expenditures,0,-13300000,0
2021,2423,Special Waste,Special Revenue Funds,3800,Houston Health Department,Human & Cultural Services,520905,Travel - Training Related,Other Services and Charges,Expenditures,0,26000,120
2021,8001,HAS-Revenue,Enterprise Funds,2800,Houston Airport System (HAS),Enterprise Funds,428060,Other Interest Income,Interest,Revenues,0,0,151754
2021,8001,HAS-Revenue,Enterprise Funds,2800,Houston Airport System (HAS),Enterprise Funds,428080,Returned Check Charges,Other Fines and Forfeits,Revenues,0,0,48
2021,8001,HAS-Revenue,Enterprise Funds,2800,Houston Airport System (HAS),Enterprise Funds,434205,Sale of Scrap Metal,Miscellaneous/Other,Revenues,0,0,3470
2021,8001,HAS-Revenue,Enterprise Funds,2800,Houston Airport System (HAS),Enterprise Funds,434225,Sale of Non-Capital Equip. & Merchandise,Miscellaneous/Other,Revenues,0,0,3932
2021,8001,HAS-Revenue,Enterprise Funds,2800,Houston Airport System (HAS),Enterprise Funds,452020,Recoveries & Refunds,Miscellaneous/Other,Revenues,0,0,159780
2021,8001,HAS-Revenue,Enterprise Funds,2800,Houston Airport System (HAS),Enterprise Funds,452030,Miscellaneous Revenue,Miscellaneous/Other,Revenues,0,0,21501
2021,8001,HAS-Revenue,Enterprise Funds,2800,Houston Airport System (HAS),Enterprise Funds,501030,Earned Leave - Civilian,Personnel Services,Expenditures,0,0,725402
2021,8001,HAS-Revenue,Enterprise Funds,2800,Houston Airport System (HAS),Enterprise Funds,503110,Workers Compensation-Classified-Claim,Personnel Services,Expenditures,0,0,627
2021,8001,HAS-Revenue,Enterprise Funds,2800,Houston Airport System (HAS),Enterprise Funds,511080,General Laboratory Supplies,Supplies,Expenditures,0,0,41
2021,8001,HAS-Revenue,Enterprise Funds,2800,Houston Airport System (HAS),Enterprise Funds,511085,Drugs & Medical Chemicals,Supplies,Expenditures,0,0,844
2021,8001,HAS-Revenue,Enterprise Funds,2800,Houston Airport System (HAS),Enterprise Funds,511155,Inventory Sales,Supplies,Expenditures,0,0,-890
2021,8001,HAS-Revenue,Enterprise Funds,2800,Houston Airport System (HAS),Enterprise Funds,520715,Arbitrage Expenses,Debt Service and Other Uses,Expenditures,0,0,-109028
2021,8001,HAS-Revenue,Enterprise Funds,2800,Houston Airport System (HAS),Enterprise Funds,531085,Other Interest,Debt Service and Other Uses,Expenditures,0,0,190277
2021,9000,Health Benefits Fund,Internal Services Funds,8000,Human Resources Dept.,Administrative Services,452030,Miscellaneous Revenue,Miscellaneous/Other,Revenues,0,0,1355940
2021,9000,Health Benefits Fund,Internal Services Funds,8000,Human Resources Dept.,Administrative Services,500030,Salary Part Time - Civilian,Personnel Services,Expenditures,0,0,36798
2021,9000,Health Benefits Fund,Internal Services Funds,8000,Human Resources Dept.,Administrative Services,501120,Termination Pay - Civilian,Personnel Services,Expenditures,0,0,36700
2021,9000,Health Benefits Fund,Internal Services Funds,8000,Human Resources Dept.,Administrative Services,503100,Workers Compensation-Civilian-Claim,Personnel Services,Expenditures,0,0,17440
2021,9000,Health Benefits Fund,Internal Services Funds,8000,Human Resources Dept.,Administrative Services,504030,Unemployment Claims - Administration,Personnel Services,Expenditures,0,0,5151
2021,9001,Long Term Disablity,Internal Services Funds,8000,Human Resources Dept.,Administrative Services,452030,Miscellaneous Revenue,Miscellaneous/Other,Revenues,0,0,2500
2021,1001,Project Cost Recovry,Service Chargeback Funds,2500,General Services Department,Development & Maintenance Services,452030,Miscellaneous Revenue,Miscellaneous/Other,Revenues,0,0,13
2021,1004,Property & Casualty,Service Chargeback Funds,6500,Admn. & Regulatory Affairs,Administrative Services,500210,Pay for Performance-Municipal,Personnel Services,Expenditures,0,0,250
2021,1004,Property & Casualty,Service Chargeback Funds,6500,Admn. & Regulatory Affairs,Administrative Services,501120,Termination Pay - Civilian,Personnel Services,Expenditures,0,0,46003
2021,1004,Property & Casualty,Service Chargeback Funds,9000,Legal Department,Administrative Services,500060,Overtime - Civilian,Personnel Services,Expenditures,0,0,1791
2021,1004,Property & Casualty,Service Chargeback Funds,9000,Legal Department,Administrative Services,500110,Bilingual Pay - Civilian,Personnel Services,Expenditures,0,0,1779
2021,1004,Property & Casualty,Service Chargeback Funds,9000,Legal Department,Administrative Services,501100,Phase Down Classified,Personnel Services,Expenditures,0,0,21045
2021,1004,Property & Casualty,Service Chargeback Funds,9000,Legal Department,Administrative Services,503100,Workers Compensation-Civilian-Claim,Personnel Services,Expenditures,0,0,181
2021,1004,Property & Casualty,Service Chargeback Funds,9000,Legal Department,Administrative Services,511125,Food Supplies,Supplies,Expenditures,0,0,377
2021,1004,Property & Casualty,Service Chargeback Funds,9000,Legal Department,Administrative Services,532005,Transfers to General Fund,Debt Service and Other Uses,Expenditures,0,0,76556
2021,1005,Fleet Management,Service Chargeback Funds,6700,Fleet Management Department,Revolving Funds,426330,Miscellaneous Copies Fees,Charges for Services,Revenues,0,0,58
2021,1005,Fleet Management,Service Chargeback Funds,6700,Fleet Management Department,Revolving Funds,500250,Interfund HOPE Union Business Usage,Personnel Services,Expenditures,0,0,339
2021,1005,Fleet Management,Service Chargeback Funds,6700,Fleet Management Department,Revolving Funds,511135,Recreational Supplies,Supplies,Expenditures,0,0,597
2021,1005,Fleet Management,Service Chargeback Funds,6700,Fleet Management Department,Revolving Funds,511160,Protective Gear,Supplies,Expenditures,0,0,150
2021,1005,Fleet Management,Service Chargeback Funds,6700,Fleet Management Department,Revolving Funds,511165,Fire Fighting Equipment,Supplies,Expenditures,0,0,72
2021,1005,Fleet Management,Service Chargeback Funds,6700,Fleet Management Department,Revolving Funds,532020,Transfers to Capital Projects,Debt Service and Other Uses,Expenditures,0,0,238484
2021,1011,WorkersCompensation,Service Chargeback Funds,8000,Human Resources Dept.,Administrative Services,452030,Miscellaneous Revenue,Miscellaneous/Other,Revenues,0,0,3251
2021,1011,WorkersCompensation,Service Chargeback Funds,8000,Human Resources Dept.,Administrative Services,501120,Termination Pay - Civilian,Personnel Services,Expenditures,0,0,57162
2021,1011,WorkersCompensation,Service Chargeback Funds,8000,Human Resources Dept.,Administrative Services,501160,Vehicle Allowance - Civilian,Personnel Services,Expenditures,0,0,-3016
2021,1011,WorkersCompensation,Service Chargeback Funds,8000,Human Resources Dept.,Administrative Services,503100,Workers Compensation-Civilian-Claim,Personnel Services,Expenditures,0,0,22922
2021,1011,WorkersCompensation,Service Chargeback Funds,8000,Human Resources Dept.,Administrative Services,511010,"Chemical, Gases & Special Fluids",Supplies,Expenditures,0,0,85
2021,1011,WorkersCompensation,Service Chargeback Funds,8000,Human Resources Dept.,Administrative Services,511025,Electrical Hardware,Supplies,Expenditures,0,0,83
2021,1011,WorkersCompensation,Service Chargeback Funds,8000,Human Resources Dept.,Administrative Services,511125,Food Supplies,Supplies,Expenditures,0,0,115
2021,1011,WorkersCompensation,Service Chargeback Funds,8000,Human Resources Dept.,Administrative Services,511145,Small Tools & Minor Equipment,Supplies,Expenditures,0,0,713
2021,1011,WorkersCompensation,Service Chargeback Funds,8000,Human Resources Dept.,Administrative Services,511160,Protective Gear,Supplies,Expenditures,0,0,60
2021,1011,WorkersCompensation,Service Chargeback Funds,9000,Legal Department,Administrative Services,451010,COH - Workers' Compensation Administration Fees,Direct Interfund Services,Revenues,0,0,191423
2021,1011,WorkersCompensation,Service Chargeback Funds,9000,Legal Department,Administrative Services,503050,Health/Life Insurance - Retiree Civilian,Personnel Services,Expenditures,0,0,11527
2021,1002,Central Service,Service Chargeback Funds,2500,General Services Department,Development & Maintenance Services,452020,Recoveries & Refunds,Miscellaneous/Other,Revenues,0,0,22
2021,1002,Central Service,Service Chargeback Funds,2500,General Services Department,Development & Maintenance Services,511110,Fuel,Supplies,Expenditures,0,0,-8269
2021,1002,Central Service,Service Chargeback Funds,7000,Planning & Development,Development & Maintenance Services,452030,Miscellaneous Revenue,Miscellaneous/Other,Revenues,0,0,5009
2021,1002,Central Service,Service Chargeback Funds,7000,Planning & Development,Development & Maintenance Services,500090,Premium Pay - Civilian,Personnel Services,Expenditures,0,0,129
2021,1002,Central Service,Service Chargeback Funds,6400,Finance,Administrative Services,511040,Audiovisual Supplies,Supplies,Expenditures,0,0,360
2021,1002,Central Service,Service Chargeback Funds,6400,Finance,Administrative Services,560810,Cap Exp-Controlled Equipment,Equipment,Expenditures,0,0,1784
2021,1002,Central Service,Service Chargeback Funds,6800,Houston Information Tech Svcs,Administrative Services,452030,Miscellaneous Revenue,Miscellaneous/Other,Revenues,0,0,157811
2021,1002,Central Service,Service Chargeback Funds,6800,Houston Information Tech Svcs,Administrative Services,501120,Termination Pay - Civilian,Personnel Services,Expenditures,0,0,200529
2021,1002,Central Service,Service Chargeback Funds,6800,Houston Information Tech Svcs,Administrative Services,511020,Construction Materials,Supplies,Expenditures,0,0,1070
2021,1002,Central Service,Service Chargeback Funds,6800,Houston Information Tech Svcs,Administrative Services,511030,Mechanical Hardware,Supplies,Expenditures,0,0,2204
2021,1002,Central Service,Service Chargeback Funds,6800,Houston Information Tech Svcs,Administrative Services,532020,Transfers to Capital Projects,Debt Service and Other Uses,Expenditures,0,0,200000
2021,1002,Central Service,Service Chargeback Funds,6800,Houston Information Tech Svcs,Administrative Services,551015,Non-Capital Computer Equipment,Non-Capital Equipment,Expenditures,0,0,20087
2021,1002,Central Service,Service Chargeback Funds,6800,Houston Information Tech Svcs,Administrative Services,560240,Cap Exp - Communication Equipment,Equipment,Expenditures,0,0,96117
2021,8300,Wtr&SwrSystOperating,Enterprise Funds,2000,Houston Public Works - HPW,Development & Maintenance Services,421280,Other Licenses & Permits,Licenses and Permits,Revenues,0,0,39881
2021,8300,Wtr&SwrSystOperating,Enterprise Funds,2000,Houston Public Works - HPW,Development & Maintenance Services,434225,Sale of Non-Capital Equip. & Merchandise,Miscellaneous/Other,Revenues,0,0,22509
2021,8300,Wtr&SwrSystOperating,Enterprise Funds,2000,Houston Public Works - HPW,Development & Maintenance Services,500180,Temporary Employees,Personnel Services,Expenditures,0,0,10823
2021,8300,Wtr&SwrSystOperating,Enterprise Funds,2000,Houston Public Works - HPW,Development & Maintenance Services,500210,Pay for Performance-Municipal,Personnel Services,Expenditures,0,0,12100
2021,8300,Wtr&SwrSystOperating,Enterprise Funds,2000,Houston Public Works - HPW,Development & Maintenance Services,500240,Interfund HOPE Community Service Usage,Personnel Services,Expenditures,0,0,177
2021,8300,Wtr&SwrSystOperating,Enterprise Funds,2000,Houston Public Works - HPW,Development & Maintenance Services,503080,Workers Compensation-Classified-Admin,Personnel Services,Expenditures,0,0,-7896
2021,8300,Wtr&SwrSystOperating,Enterprise Funds,2000,Houston Public Works - HPW,Development & Maintenance Services,511085,Drugs & Medical Chemicals,Supplies,Expenditures,0,0,9546
2021,8300,Wtr&SwrSystOperating,Enterprise Funds,2000,Houston Public Works - HPW,Development & Maintenance Services,511135,Recreational Supplies,Supplies,Expenditures,0,0,1145
2021,8300,Wtr&SwrSystOperating,Enterprise Funds,2000,Houston Public Works - HPW,Development & Maintenance Services,511160,Protective Gear,Supplies,Expenditures,0,0,1232
2021,8300,Wtr&SwrSystOperating,Enterprise Funds,2000,Houston Public Works - HPW,Development & Maintenance Services,511165,Fire Fighting Equipment,Supplies,Expenditures,0,0,40
2021,8300,Wtr&SwrSystOperating,Enterprise Funds,2000,Houston Public Works - HPW,Development & Maintenance Services,532020,Transfers to Capital Projects,Debt Service and Other Uses,Expenditures,0,0,393579
2021,8300,Wtr&SwrSystOperating,Enterprise Funds,2000,Houston Public Works - HPW,Development & Maintenance Services,453014,Area 1&2 GRP Fees NnGv,Charges for Services,Revenues,0,0,94213
2021,8300,Wtr&SwrSystOperating,Enterprise Funds,2000,Houston Public Works - HPW,Development & Maintenance Services,453015,Area3 GRP Fees Non-Government,Charges for Services,Revenues,0,0,7907559
2021,8300,Wtr&SwrSystOperating,Enterprise Funds,2000,Houston Public Works - HPW,Development & Maintenance Services,453022,Contract Treated Industrial Wat Non-Government,Charges for Services,Revenues,0,0,3302999
2021,8300,Wtr&SwrSystOperating,Enterprise Funds,2000,Houston Public Works - HPW,Development & Maintenance Services,453032,ConUntCWAHWY225NnGv,Charges for Services,Revenues,0,0,32204347
2021,8300,Wtr&SwrSystOperating,Enterprise Funds,2000,Houston Public Works - HPW,Development & Maintenance Services,453033,ContractUntreatedLakeHoustonIndustNonGov,Charges for Services,Revenues,0,0,13971309
2021,8300,Wtr&SwrSystOperating,Enterprise Funds,2000,Houston Public Works - HPW,Development & Maintenance Services,453035,ConUntSoCanIndNonGv,Charges for Services,Revenues,0,0,8751181
2021,8300,Wtr&SwrSystOperating,Enterprise Funds,2000,Houston Public Works - HPW,Development & Maintenance Services,453036,ContractUntreatSoCanlAgriculturNonGov,Charges for Services,Revenues,0,0,132171
2021,8300,Wtr&SwrSystOperating,Enterprise Funds,2000,Houston Public Works - HPW,Development & Maintenance Services,453038,Contract Untreat CWA Bayport Non-Govern,Charges for Services,Revenues,0,0,8982728
2021,8300,Wtr&SwrSystOperating,Enterprise Funds,2000,Houston Public Works - HPW,Development & Maintenance Services,453039,ConUntCWANWLATNonGv,Charges for Services,Revenues,0,0,436278
2021,8300,Wtr&SwrSystOperating,Enterprise Funds,2000,Houston Public Works - HPW,Development & Maintenance Services,453120,Con Tr Bulk Wat Gov,Charges for Services,Revenues,0,0,38673567
2021,8300,Wtr&SwrSystOperating,Enterprise Funds,2000,Houston Public Works - HPW,Development & Maintenance Services,455040,Utility Services Penalties,Charges for Services,Revenues,0,0,8460970
2021,8300,Wtr&SwrSystOperating,Enterprise Funds,2000,Houston Public Works - HPW,Development & Maintenance Services,456200,Water Plant Annual True-up Revenue,Charges for Services,Revenues,0,0,-1850520
2021,8300,Wtr&SwrSystOperating,Enterprise Funds,2000,Houston Public Works - HPW,Development & Maintenance Services,456205,Failure to Connect Sewer,Charges for Services,Revenues,0,0,36
2021,1001,Project Cost Recovry,Service Chargeback Funds,2000,Houston Public Works - HPW,Development & Maintenance Services,432015,Gain or Loss-Investment Market Adjust.,Interest,Revenues,0,0,103856
2021,1001,Project Cost Recovry,Service Chargeback Funds,2000,Houston Public Works - HPW,Development & Maintenance Services,511030,Mechanical Hardware,Supplies,Expenditures,0,0,11
2021,1001,Project Cost Recovry,Service Chargeback Funds,2000,Houston Public Works - HPW,Development & Maintenance Services,511160,Protective Gear,Supplies,Expenditures,0,0,266
2021,1001,Project Cost Recovry,Service Chargeback Funds,2000,Houston Public Works - HPW,Development & Maintenance Services,560810,Cap Exp-Controlled Equipment,Equipment,Expenditures,0,0,6049
2021,8305,CombinedUtilSystGen,Enterprise Funds,2000,Houston Public Works - HPW,Development & Maintenance Services,431020,Contributions from Others,Miscellaneous/Other,Revenues,0,0,9496312
2021,8305,CombinedUtilSystGen,Enterprise Funds,2000,Houston Public Works - HPW,Development & Maintenance Services,434245,Sale of Capital Assets - Vehicles,Other Resources,Revenues,0,0,186821
2021,8305,CombinedUtilSystGen,Enterprise Funds,2000,Houston Public Works - HPW,Development & Maintenance Services,434335,Recover Damage-Infrastructure,Miscellaneous/Other,Revenues,0,0,789
2021,8305,CombinedUtilSystGen,Enterprise Funds,2000,Houston Public Works - HPW,Development & Maintenance Services,560810,Cap Exp-Controlled Equipment,Equipment,Expenditures,0,0,3865
2021,2301,Building Inspection,Special Revenue Funds,2000,Houston Public Works - HPW,Development & Maintenance Services,424020,Interfund Engineering Services,Direct Interfund Services,Revenues,0,0,36996
2021,2301,Building Inspection,Special Revenue Funds,2000,Houston Public Works - HPW,Development & Maintenance Services,447035,Washington Ave Parking Revenue,Charges for Services,Revenues,0,0,1000
2021,2301,Building Inspection,Special Revenue Funds,2000,Houston Public Works - HPW,Development & Maintenance Services,532025,Transfers to Special Revenues,Debt Service and Other Uses,Expenditures,0,0,7448
2021,2301,Building Inspection,Special Revenue Funds,2000,Houston Public Works - HPW,Development & Maintenance Services,560210,Cap Exp - Furniture Fixtures and Equipment,Equipment,Expenditures,0,0,23221
2021,2301,Building Inspection,Special Revenue Funds,2000,Houston Public Works - HPW,Development & Maintenance Services,560270,Cap Exp - Intangible Assets,Equipment,Expenditures,0,0,82281
2021,2301,Building Inspection,Special Revenue Funds,2000,Houston Public Works - HPW,Development & Maintenance Services,560810,Cap Exp-Controlled Equipment,Equipment,Expenditures,0,0,7438
2021,2302,Stormwater Fund,Special Revenue Funds,2000,Houston Public Works - HPW,Development & Maintenance Services,560210,Cap Exp - Furniture Fixtures and Equipment,Equipment,Expenditures,0,0,38090
2021,2310,DDSRF-Drainage Charge,Special Revenue Funds,2000,Houston Public Works - HPW,Development & Maintenance Services,426505,Drainage Charge Adjustment,Charges for Services,Revenues,0,0,-156
2021,2310,DDSRF-Drainage Charge,Special Revenue Funds,2000,Houston Public Works - HPW,Development & Maintenance Services,490020,Transfer from Special Revenue Fund,Other Resources,Revenues,0,0,7448
2021,2310,DDSRF-Drainage Charge,Special Revenue Funds,2000,Houston Public Works - HPW,Development & Maintenance Services,531005,Bad Debt Expense,Debt Service and Other Uses,Expenditures,0,0,21275386
2021,2311,DDSRF - Ad Valorem Tax,Special Revenue Funds,2000,Houston Public Works - HPW,Development & Maintenance Services,560210,Cap Exp - Furniture Fixtures and Equipment,Equipment,Expenditures,0,0,38089
2021,2312,DDSRF - Metro ET AL,Special Revenue Funds,2000,Houston Public Works - HPW,Development & Maintenance Services,434245,Sale of Capital Assets - Vehicles,Other Resources,Revenues,0,0,30540
2021,2312,DDSRF - Metro ET AL,Special Revenue Funds,2000,Houston Public Works - HPW,Development & Maintenance Services,531205,Permanent Improvement Capital Cost,Debt Service and Other Uses,Expenditures,0,0,-23425453
2021,2312,DDSRF - Metro ET AL,Special Revenue Funds,2000,Houston Public Works - HPW,Development & Maintenance Services,560260,Cap Exp - Infrastructure,Equipment,Expenditures,0,0,23431493
2021,2402,Houston Transtar,Special Revenue Funds,2000,Houston Public Works - HPW,Development & Maintenance Services,434245,Sale of Capital Assets - Vehicles,Other Resources,Revenues,0,0,2701
2021,2008,Laboratory Svcs,Special Revenue Funds,3800,Houston Health Department,Human & Cultural Services,428060,Other Interest Income,Interest,Revenues,0,0,23
2021,2009,Swimming Pool Safety,Special Revenue Funds,3800,Houston Health Department,Human & Cultural Services,421280,Other Licenses & Permits,Licenses and Permits,Revenues,0,0,-119
2021,2100,Park Special Rev.,Special Revenue Funds,3600,Parks & Recreation,Human & Cultural Services,532020,Transfers to Capital Projects,Debt Service and Other Uses,Expenditures,0,0,51000
2021,2106,Bayou Greenway 2020,Special Revenue Funds,3600,Parks & Recreation,Human & Cultural Services,532020,Transfers to Capital Projects,Debt Service and Other Uses,Expenditures,0,0,165000
2021,2200,Auto Dealers,Special Revenue Funds,1000,Houston Police Department-HPD,Public Safety,426290,Other Service Charges,Charges for Services,Revenues,0,0,25688
2021,2200,Auto Dealers,Special Revenue Funds,1000,Houston Police Department-HPD,Public Safety,426400,Vehicle Storage Unit,Charges for Services,Revenues,0,0,64197
2021,2201,Police Special Svcs,Special Revenue Funds,1000,Houston Police Department-HPD,Public Safety,490020,Transfer from Special Revenue Fund,Other Resources,Revenues,0,0,230000
2021,2205,HoustonEmergencyCtr,Special Revenue Funds,1500,Houston Emergency Center (HEC),Public Safety,426330,Miscellaneous Copies Fees,Charges for Services,Revenues,0,0,1248
2021,2205,HoustonEmergencyCtr,Special Revenue Funds,1500,Houston Emergency Center (HEC),Public Safety,432010,Interest on Pooled Investments,Interest,Revenues,0,0,36379
2021,2215,Municipal Jury Fund,Special Revenue Funds,1600,Municipal Courts Department,Public Safety,432010,Interest on Pooled Investments,Interest,Revenues,0,0,73
2021,2305,Recycling Revenue,Special Revenue Funds,2100,Solid Waste Management,Development & Maintenance Services,551040,Non-Capital Other,Non-Capital Equipment,Expenditures,0,0,66000
2021,8700,ParkHouston SRF,Special Revenue Funds,6500,Admn. & Regulatory Affairs,Administrative Services,428090,Miscellaneous Fines & Forfeitures,Other Fines and Forfeits,Revenues,0,0,5
2021,2008,Laboratory Svcs,Special Revenue Funds,3800,Houston Health Department,Human & Cultural Services,452030,Miscellaneous Revenue,Miscellaneous/Other,Revenues,0,0,31430
2021,2100,Park Special Rev.,Special Revenue Funds,3600,Parks & Recreation,Human & Cultural Services,434340,Cashier Overages,Miscellaneous/Other,Revenues,0,0,-48
2021,2105,M.R.R Fund,Special Revenue Funds,2500,General Services Department,Development & Maintenance Services,452020,Recoveries & Refunds,Miscellaneous/Other,Revenues,0,0,1282
2021,2105,M.R.R Fund,Special Revenue Funds,2500,General Services Department,Development & Maintenance Services,452030,Miscellaneous Revenue,Miscellaneous/Other,Revenues,0,0,7656
2021,2105,M.R.R Fund,Special Revenue Funds,3600,Parks & Recreation,Human & Cultural Services,431020,Contributions from Others,Miscellaneous/Other,Revenues,0,0,500000
2021,2205,HoustonEmergencyCtr,Special Revenue Funds,1500,Houston Emergency Center (HEC),Public Safety,452020,Recoveries & Refunds,Miscellaneous/Other,Revenues,0,0,259
2021,2213,Forensic Transition,Special Revenue Funds,1000,Houston Police Department-HPD,Public Safety,434510,Prior Year Revenue,Miscellaneous/Other,Revenues,0,0,1296
2021,2301,Building Inspection,Special Revenue Funds,2000,Houston Public Works - HPW,Development & Maintenance Services,434340,Cashier Overages,Miscellaneous/Other,Revenues,0,0,-5397
2021,2302,Stormwater Fund,Special Revenue Funds,2000,Houston Public Works - HPW,Development & Maintenance Services,434205,Sale of Scrap Metal,Miscellaneous/Other,Revenues,0,0,3226
2021,2427,BARC Special Revenue,Special Revenue Funds,6500,Admn. & Regulatory Affairs,Administrative Services,434340,Cashier Overages,Miscellaneous/Other,Revenues,0,0,43
2021,2427,BARC Special Revenue,Special Revenue Funds,6500,Admn. & Regulatory Affairs,Administrative Services,452030,Miscellaneous Revenue,Miscellaneous/Other,Revenues,0,0,397
2021,2428,State Cable TV,Special Revenue Funds,5000,Mayor's Office,Administrative Services,434510,Prior Year Revenue,Miscellaneous/Other,Revenues,0,0,3386
2021,8700,ParkHouston SRF,Special Revenue Funds,6500,Admn. & Regulatory Affairs,Administrative Services,434340,Cashier Overages,Miscellaneous/Other,Revenues,0,0,2395
2021,2105,M.R.R Fund,Special Revenue Funds,2500,General Services Department,Development & Maintenance Services,511015,Cleaning & Sanitary,Supplies,Expenditures,0,0,1780
2021,2105,M.R.R Fund,Special Revenue Funds,2500,General Services Department,Development & Maintenance Services,511060,Postage,Supplies,Expenditures,0,0,39
2021,2105,M.R.R Fund,Special Revenue Funds,2500,General Services Department,Development & Maintenance Services,511115,Vehicle Repair & Maintenance Supplies,Supplies,Expenditures,0,0,5775
2021,2200,Auto Dealers,Special Revenue Funds,1000,Houston Police Department-HPD,Public Safety,511020,Construction Materials,Supplies,Expenditures,0,0,86
2021,2201,Police Special Svcs,Special Revenue Funds,1000,Houston Police Department-HPD,Public Safety,511130,Weapons Munitions & Supplies,Supplies,Expenditures,0,0,9889
2021,2201,Police Special Svcs,Special Revenue Funds,1000,Houston Police Department-HPD,Public Safety,511135,Recreational Supplies,Supplies,Expenditures,0,0,33
2021,2201,Police Special Svcs,Special Revenue Funds,1000,Houston Police Department-HPD,Public Safety,511145,Small Tools & Minor Equipment,Supplies,Expenditures,0,0,6519
